site_id,juniorhigh_p,seniorhigh_p,associate_p,college_p,spouse_p,divorce_p,ever_married_p,age_20_p,age_20_40_p,avg_age,median_age,pr_avg_age,vote_p
花蓮縣吉安鄉,0.8702,0.685,0.33,0.2252,0.4703,0.1056,0.644,0.17,0.3409,41.6843,42,0.4282,0.5651
花蓮縣瑞穗鄉,0.7336,0.4689,0.1755,0.1231,0.4433,0.1049,0.6604,0.1384,0.2844,45.5026,47,0.8509,0.6387
花蓮縣壽豐鄉,0.7614,0.5288,0.2158,0.1497,0.4575,0.121,0.67490000000000006,0.1478,0.2913,44.7943,46,0.7778,0.3179
花蓮縣萬榮鄉,0.8175,0.5287,0.1497,0.0957,0.3886,0.1187,0.6057,0.2238,0.4,36.8885,36,0.0298,0.5034
花蓮縣新城鄉,0.8115,0.5912,0.2526,0.1692,0.4356,0.1282,0.6457,0.1656,0.3483,40.476,40.0094,0.30620000000000003,0.5507
花蓮縣秀林鄉,0.7578,0.4759,0.1502,0.0995,0.3859,0.142,0.6103,0.2108,0.3868,35.7984,34.86,0.0108,0.6681
花蓮縣玉里鎮,0.7655,0.5009,0.206,0.1418,0.4178,0.1047,0.6319,0.1404,0.2845,44.407,46,0.7398,0.5875
花蓮縣卓溪鄉,0.7395,0.4628,0.154,0.102,0.4054,0.1003,0.6199,0.2035,0.3956,37.2877,36.6351,0.0461,0.3334
基隆市安樂區,0.8818,0.711,0.3512,0.2366,0.4734,0.106,0.6408,0.1627,0.3206,41.5539,42,0.4092,0.6157
基隆市暖暖區,0.8744,0.6861,0.328,0.2188,0.4667,0.1095,0.638,0.1713,0.3264,41.4626,42,0.393,0.4483
基隆市七堵區,0.8421,0.6375,0.313,0.2115,0.4767,0.098,0.6426,0.1639,0.3316,41.8261,42,0.4553,0.5032
基隆市仁愛區,0.8289,0.65,0.3184,0.2175,0.4641,0.109,0.6586,0.1303,0.2825,43.3959,44,0.6531,0.6878
基隆市信義區,0.8815,0.7081,0.3573,0.2502,0.4688,0.1001,0.6346,0.1679,0.3229,42.8446,43.5365,0.5881,0.6416
基隆市中山區,0.8314,0.619,0.2831,0.1911,0.4469,0.1117,0.6335,0.1669,0.3145,43.3647,44.0334,0.6477,0.6483
基隆市中正區,0.8423,0.6244,0.2906,0.2026,0.4498,0.1147,0.6409,0.1515,0.3099,43.8359,44.3246,0.7019,0.6391
嘉義市東區,0.8839,0.7392,0.4258,0.2997,0.487,0.082,0.6366,0.1614,0.3249,41.006100000000004,41,0.3523,0.3477
嘉義市西區,0.8583,0.6895,0.3631,0.2482,0.4803,0.0906,0.6392,0.1603,0.3358,39.9055,39.8896,0.2575,0.5869
嘉義縣阿里山鄉,0.7684,0.4858,0.1626,0.1094,0.4912,0.0975,0.6877,0.1616,0.3267,41.2793,41.256100000000004,0.3794,0.3773
嘉義縣布袋鎮,0.7248,0.4861,0.2058,0.1424,0.5156,0.0774,0.7004,0.1312,0.2869,45.725,46.3266,0.8672,0.615
嘉義縣大埔鄉,0.7346,0.4757,0.1903,0.1327,0.5248,0.1015,0.7063,0.1425,0.3169,42.9882,43,0.6016,0.3377
嘉義縣大林鎮,0.7653,0.5635,0.2722,0.1899,0.5098,0.074,0.6781,0.1513,0.2905,44.7529,45.7189,0.7751,0.425
嘉義縣東石鄉,0.6638,0.4072,0.1499,0.1056,0.524,0.0802,0.7195,0.1116,0.2738,46.492,46.1766,0.9079,0.5612
嘉義縣番路鄉,0.7511,0.5155,0.2094,0.145,0.5246,0.0869,0.7034,0.1427,0.2889,45.2362,46.6806,0.8238,0.61
嘉義縣六腳鄉,0.6961,0.4654,0.1913,0.1309,0.517,0.0691,0.7085,0.1297,0.2555,48.3647,50,0.981,0.674
嘉義縣鹿草鄉,0.6992,0.4671,0.1978,0.1383,0.5317,0.0709,0.7153,0.1256,0.2636,48.2899,50,0.9783,0.532
嘉義縣梅山鄉,0.7204,0.5006,0.2157,0.1533,0.5284,0.0749,0.7027,0.1475,0.2865,46.0318,47,0.8808,0.5147
嘉義縣民雄鄉,0.8014,0.6085,0.2908,0.2044,0.4985,0.0794,0.6513,0.17,0.3358,41.8031,41.5077,0.4499,0.455
嘉義縣朴子市,0.7821,0.5742,0.2868,0.2045,0.5052,0.0721,0.6636,0.1468,0.306,42.2897,42,0.5014,0.5939
